fips_code,date,policy_type,start_stop
15000,1899-12-30,MandateFaceMaskUseByAllIndividualsInPublicSpaces,True
26000,2020-01-01,AllowAudioOnlyTelehealth,True
10000,2020-01-01,AllowAudioOnlyTelehealth,True
53000,2020-02-29,StateOfEmergency,True
36000,2020-03-01,AllowExpandMedicaidTelehealthCoverage,True
15000,2020-03-04,StateOfEmergency,True
06000,2020-03-04,StateOfEmergency,True
24000,2020-03-05,StateOfEmergency,True
21000,2020-03-06,StateOfEmergency,True
18000,2020-03-06,StateOfEmergency,True
49000,2020-03-06,StateOfEmergency,True
42000,2020-03-06,StateOfEmergency,True
36000,2020-03-07,StateOfEmergency,True
41000,2020-03-08,StateOfEmergency,True
44000,2020-03-09,StateOfEmergency,True
39000,2020-03-09,StateOfEmergency,True
17000,2020-03-09,StateOfEmergency,True
19000,2020-03-09,StateOfEmergency,True
39000,2020-03-09,AllowExpandMedicaidTelehealthCoverage,True
09000,2020-03-09,NursingHomes,True
34000,2020-03-09,StateOfEmergency,True
12000,2020-03-09,StateOfEmergency,True
09000,2020-03-10,StateOfEmergency,True
37000,2020-03-10,StateOfEmergency,True
25000,2020-03-10,StateOfEmergency,True
26000,2020-03-10,StateOfEmergency,True
53000,2020-03-10,ReopenedAcaEnrollmentUsingASpecialEnrollmentPeriod,True
22000,2020-03-11,StateOfEmergency,True
11000,2020-03-11,StateOfEmergency,True
35000,2020-03-11,StateOfEmergency,True
08000,2020-03-11,StateOfEmergency,True
39000,2020-03-11,NursingHomes,True
02000,2020-03-11,StateOfEmergency,True
25000,2020-03-11,ReopenedAcaEnrollmentUsingASpecialEnrollmentPeriod,True
11000,2020-03-11,OrderFreezingUtilityShutOffs,True
04000,2020-03-11,StateOfEmergency,True
05000,2020-03-11,StateOfEmergency,True
32000,2020-03-12,StateOfEmergency,True
55000,2020-03-12,AllowExpandMedicaidTelehealthCoverage,True
25000,2020-03-12,AllowExpandMedicaidTelehealthCoverage,True
55000,2020-03-12,StateOfEmergency,True
11000,2020-03-12,AllowExpandMedicaidTelehealthCoverage,True
09000,2020-03-12,OrderFreezingUtilityShutOffs,True
08000,2020-03-12,NursingHomes,True
30000,2020-03-12,StateOfEmergency,True
26000,2020-03-12,AllowExpandMedicaidTelehealthCoverage,True
47000,2020-03-12,StateOfEmergency,True
24000,2020-03-12,AllowExpandMedicaidTelehealthCoverage,True
22000,2020-03-12,NursingHomes,True
20000,2020-03-12,StateOfEmergency,True
51000,2020-03-12,StateOfEmergency,True
29000,2020-03-13,StateOfEmergency,True
25000,2020-03-13,OrderFreezingUtilityShutOffs,True
55000,2020-03-13,OrderFreezingUtilityShutOffs,True
31000,2020-03-13,StateOfEmergency,True
50000,2020-03-13,NursingHomes,True
46000,2020-03-13,StateOfEmergency,True
41000,2020-03-13,AllowExpandMedicaidTelehealthCoverage,True
27000,2020-03-13,StateOfEmergency,True
36000,2020-03-13,NursingHomes,True
41000,2020-03-13,AllowAudioOnlyTelehealth,True
33000,2020-03-13,StateOfEmergency,True
05000,2020-03-13,AllowAudioOnlyTelehealth,True
05000,2020-03-13,AllowExpandMedicaidTelehealthCoverage,True
16000,2020-03-13,StateOfEmergency,True
48000,2020-03-13,StateOfEmergency,True
35000,2020-03-13,NursingHomes,True
01000,2020-03-13,StateOfEmergency,True
19000,2020-03-13,AllowExpandMedicaidTelehealthCoverage,True
47000,2020-03-13,AllowExpandMedicaidTelehealthCoverage,True
44000,2020-03-13,NursingHomes,True
45000,2020-03-13,StateOfEmergency,True
50000,2020-03-13,StateOfEmergency,True
36000,2020-03-13,OrderFreezingUtilityShutOffs,True
42000,2020-03-13,OrderFreezingUtilityShutOffs,True
22000,2020-03-13,OrderFreezingUtilityShutOffs,True
38000,2020-03-13,StateOfEmergency,True
56000,2020-03-13,StateOfEmergency,True
05000,2020-03-13,NursingHomes,True
10000,2020-03-13,StateOfEmergency,True
22000,2020-03-13,AllowExpandMedicaidTelehealthCoverage,True
44000,2020-03-14,ReopenedAcaEnrollmentUsingASpecialEnrollmentPeriod,True
26000,2020-03-14,NursingHomes,True
28000,2020-03-14,StateOfEmergency,True
13000,2020-03-14,StateOfEmergency,True
33000,2020-03-15,NursingHomes,True
39000,2020-03-15,FoodAndDrink,True
28000,2020-03-15,OrderFreezingUtilityShutOffs,True
45000,2020-03-15,NursingHomes,True
36000,2020-03-15,AllowAudioOnlyTelehealth,True
45000,2020-03-15,AllowExpandMedicaidTelehealthCoverage,True
23000,2020-03-15,StateOfEmergency,True
42000,2020-03-15,AllowAudioOnlyTelehealth,True
72000,2020-03-15,ShelterInPlace,True
12000,2020-03-15,NursingHomes,True
40000,2020-03-15,StateOfEmergency,True
30000,2020-03-15,NursingHomes,True
12000,2020-03-16,ModifyMedicaidRequirementsWith1135WaiversDateOfCmsApproval,True
41000,2020-03-16,Childcare(k-12),True
37000,2020-03-16,Childcare(k-12),True
22000,2020-03-16,Childcare(k-12),True
53000,2020-03-16,Entertainment,True
42000,2020-03-16,Childcare(k-12),True
35000,2020-03-16,Childcare(k-12),True
54000,2020-03-16,StateOfEmergency,True
24000,2020-03-16,FoodAndDrink,True
25000,2020-03-16,NursingHomes,True
18000,2020-03-16,FoodAndDrink,True
53000,2020-03-16,NursingHomes,True
09000,2020-03-16,Entertainment,True
53000,2020-03-16,Gyms,True
34000,2020-03-16,Entertainment,True
24000,2020-03-16,Gyms,True
26000,2020-03-16,Childcare(k-12),True
11000,2020-03-16,Childcare(k-12),True
17000,2020-03-16,FoodAndDrink,True
32000,2020-03-16,Childcare(k-12),True
54000,2020-03-16,AllowAudioOnlyTelehealth,True
16000,2020-03-16,StopInitiationOfEvictionsOverallOrDueToCovidRelatedIssues,True
04000,2020-03-16,Childcare(k-12),True
36000,2020-03-16,Entertainment,True
36000,2020-03-16,Gyms,True
40000,2020-03-16,NursingHomes,True
23000,2020-03-16,OrderFreezingUtilityShutOffs,True
34000,2020-03-16,FoodAndDrink,True
24000,2020-03-16,StopInitiationOfEvictionsOverallOrDueToCovidRelatedIssues,True
20000,2020-03-16,OrderFreezingUtilityShutOffs,True
11000,2020-03-16,FoodAndDrink,True
21000,2020-03-16,Childcare(k-12),True
28000,2020-03-16,AllowAudioOnlyTelehealth,True
33000,2020-03-16,Childcare(k-12),True
27000,2020-03-16,NursingHomes,True
09000,2020-03-16,FoodAndDrink,True
44000,2020-03-16,OrderFreezingUtilityShutOffs,True
54000,2020-03-16,Childcare(k-12),True
26000,2020-03-16,FoodAndDrink,True
24000,2020-03-16,OrderFreezingUtilityShutOffs,True
